row_id,mean_embedding_change,max_embedding_change,original_embedding_norm,relative_change_pct,is_fragile
9311,0.763529,1.866713,2.6561,28.75,False
20257,0.450353,1.684852,2.6592,16.94,False
8181,0.659056,1.527973,2.7206,24.22,False
2599,0.94317,1.864954,2.9072,32.44,False
9022,0.963564,1.774918,2.8109,34.28,False
6338,0.643286,2.07749,2.4877,25.86,False
13189,0.7725,1.700272,2.7086,28.52,False
16476,0.762861,1.751125,2.9233,26.1,False
18979,0.821586,2.059607,2.4225,33.92,False
20412,1.076597,2.198566,2.736,39.35,False
13255,0.690862,1.253827,2.6942,25.64,False
16737,0.646038,1.786484,2.5425,25.41,False
11611,0.809976,2.307413,2.6232,30.88,False
7312,0.827326,1.883769,2.7142,30.48,False
5089,1.13635,1.773168,2.9459,38.57,False
10130,1.160382,1.776284,2.5382,45.72,True
17434,0.582393,2.125973,2.9322,19.86,False
5481,0.91433,1.663689,2.6409,34.62,False
18149,0.756013,2.411672,2.6875,28.13,False
6300,1.105335,1.810784,2.6421,41.84,False
2388,0.692301,1.655989,2.7499,25.18,False
14522,0.161569,1.258168,2.5496,6.34,False
390,1.055569,1.737228,2.4136,43.73,False
22273,0.434905,1.587754,2.9277,14.85,False
17176,0.805113,1.758685,2.9899,26.93,False
13884,0.681377,1.678772,2.7875,24.44,False
10230,1.367567,1.819182,2.8044,48.76,True
9458,1.119522,1.76035,2.6803,41.77,False
17609,0.39187,1.275153,3.0248,12.96,False
16164,0.971397,1.797741,3.0418,31.93,False
20427,1.050413,2.006031,2.8057,37.44,False
3973,0.707136,1.649953,2.7676,25.55,False
13050,0.990085,1.834464,2.7319,36.24,False
3634,0.647639,1.454301,2.464,26.28,False
21158,0.868277,1.776624,2.6146,33.21,False
142,0.580074,1.986733,2.9644,19.57,False
9178,0.494452,1.781668,2.911,16.99,False
16400,0.678071,1.691222,2.9814,22.74,False
3073,0.618522,1.996851,2.6343,23.48,False
15842,1.025824,1.861917,3.0056,34.13,False
2319,0.598661,1.698555,2.3781,25.17,False
18417,1.048522,1.70196,2.5391,41.29,False
13887,1.232291,2.270961,2.7661,44.55,True
3246,0.846986,1.302402,2.6901,31.48,False
12163,0.596305,2.005398,3.0703,19.42,False
13078,1.422128,2.171945,2.7088,52.5,True
544,0.693187,1.746313,2.878,24.09,False
10937,0.812613,1.625315,2.7004,30.09,False
20264,0.811765,1.752093,2.6124,31.07,False
21042,0.65829,1.564996,2.8392,23.19,False
6277,1.177364,2.316373,2.6436,44.54,True
11418,0.818047,2.029182,2.9074,28.14,False
20943,0.678919,1.717319,2.6526,25.59,False
6876,1.23445,1.947196,2.8003,44.08,True
14528,0.823545,1.696478,2.8336,29.06,False
11143,0.709817,1.75362,2.3858,29.75,False
10709,0.72071,1.856606,2.6184,27.53,False
2898,0.979033,2.576525,2.8401,34.47,False
6597,0.612065,1.705046,2.6277,23.29,False
21333,0.566648,1.20573,2.7578,20.55,False
8716,0.680476,1.695817,2.6591,25.59,False
1773,0.525334,1.641956,2.4625,21.33,False
20337,0.822973,1.822517,2.926,28.13,False
12438,1.166037,2.049502,2.6834,43.45,False
2713,0.624005,1.555664,2.7173,22.96,False
9513,0.841129,1.778895,2.6131,32.19,False
2874,0.973409,2.111129,2.5839,37.67,False
18113,0.586325,1.841063,2.527,23.2,False
16207,1.326283,2.142642,2.7537,48.16,True
1850,0.942942,1.897481,2.6401,35.72,False
15691,0.600233,1.772036,2.8937,20.74,False
550,0.634946,1.891819,2.8879,21.99,False
17639,0.747108,2.015685,3.0146,24.78,False
22217,0.720082,1.761153,2.6444,27.23,False
4382,0.875344,1.836109,2.7285,32.08,False
9149,1.032319,2.27278,3.0984,33.32,False
12749,0.659872,2.214066,2.9945,22.04,False
16810,1.041321,2.123193,2.8519,36.51,False
15233,0.312903,1.579978,2.9492,10.61,False
20352,0.752777,1.635024,2.9849,25.22,False
11110,0.342033,1.959411,2.5013,13.67,False
6507,0.737931,1.586755,2.8365,26.02,False
2673,0.514612,1.303951,2.8812,17.86,False
21273,0.890402,2.058171,2.5467,34.96,False
14873,0.816379,1.699699,2.7922,29.24,False
394,0.993628,1.811463,2.4642,40.32,False
2893,0.594779,1.807889,2.8762,20.68,False
6130,0.855465,1.599637,2.7316,31.32,False
5041,0.832519,1.694498,2.4702,33.7,False
3825,0.92032,2.242454,2.567,35.85,False
305,0.904261,1.947374,2.6907,33.61,False
20514,0.764485,1.729623,2.815,27.16,False
3159,1.136746,1.631225,2.863,39.71,False
9522,0.813789,1.73028,2.59,31.42,False
10995,0.810091,2.127042,2.7084,29.91,False
10964,0.681013,1.828863,2.7598,24.68,False
21341,0.512369,1.300275,2.7688,18.51,False
7036,0.518058,1.610539,3.2565,15.91,False
17073,0.577921,1.281465,2.7146,21.29,False
21919,0.573966,1.766852,2.7881,20.59,False
6815,0.708238,1.661945,2.3669,29.92,False
6161,1.081902,2.204026,2.8053,38.57,False
4314,0.799642,1.793962,2.8424,28.13,False
983,0.895587,1.790301,3.0245,29.61,False
19212,0.922221,1.721441,2.758,33.44,False
15816,0.834866,2.13753,3.0342,27.52,False
13168,0.765811,2.141432,2.5626,29.88,False
8067,0.726582,1.278918,2.8324,25.65,False
3938,1.112532,2.26334,2.6618,41.8,False
16408,0.931304,1.855245,2.9958,31.09,False
3368,1.184519,1.715482,2.7893,42.47,False
22001,1.135473,1.863257,2.7594,41.15,False
18264,0.825382,1.304115,2.7044,30.52,False
1486,0.571657,1.746341,2.5698,22.25,False
2697,0.828754,1.75917,2.7935,29.67,False
701,1.125511,2.284278,2.7018,41.66,False
5296,0.639353,1.910525,2.7512,23.24,False
20832,0.978575,1.767084,2.8063,34.87,False
20593,0.778521,1.785215,2.9125,26.73,False
116,0.452309,1.748584,2.8836,15.69,False
5769,0.664026,1.988458,3.3413,19.87,False
8354,0.605045,1.204791,2.9498,20.51,False
16418,0.772371,2.115482,2.8801,26.82,False
16196,1.033285,1.788098,2.6704,38.69,False
2077,0.844015,2.122426,2.7767,30.4,False
19488,0.650023,1.731794,2.6073,24.93,False
8216,0.470381,1.250386,2.8288,16.63,False
22199,1.126279,2.10778,2.669,42.2,False
14551,0.87356,1.814916,2.754,31.72,False
7380,0.987232,2.013084,2.7405,36.02,False
16979,0.810038,1.652929,2.6368,30.72,False
486,1.025658,2.336625,2.8266,36.29,False
6949,0.715406,1.815991,2.428,29.47,False
10328,0.752378,1.589566,2.9181,25.78,False
11413,1.135871,2.289303,2.5477,44.58,True
2551,0.52431,1.774326,2.5288,20.73,False
19655,0.922929,1.766908,3.0615,30.15,False
4915,1.096828,1.826048,2.4558,44.66,True
19599,0.7871,1.964992,3.0289,25.99,False
18606,0.326593,1.187686,2.801,11.66,False
16472,0.957326,2.113251,2.922,32.76,False
2000,0.728959,1.274812,2.9124,25.03,False
19622,0.868427,1.881128,3.0766,28.23,False
3334,1.029047,2.019064,2.6419,38.95,False
21840,0.809408,2.289246,2.5921,31.23,False
21334,1.05009,1.994041,2.7271,38.51,False
9576,0.848765,2.068542,2.779,30.54,False
6576,0.553619,1.684727,2.6958,20.54,False
988,0.945715,2.052119,2.6065,36.28,False
11736,0.773645,1.610763,2.7428,28.21,False
3623,1.124323,2.052248,2.4554,45.79,True
3978,0.794229,2.161337,2.6972,29.45,False
20607,0.628234,1.959588,2.7402,22.93,False
21827,0.610232,1.886644,2.6489,23.04,False
5635,0.924754,1.972513,2.8315,32.66,False
19938,0.9394,1.798372,2.8318,33.17,False
11341,0.595909,1.25488,2.8598,20.84,False
13693,0.614982,1.419944,2.6833,22.92,False
6406,0.760553,1.700276,2.8806,26.4,False
13980,0.435949,1.68389,2.5433,17.14,False
20986,0.865421,1.726353,2.9371,29.46,False
4465,0.404865,1.695562,2.7546,14.7,False
6985,0.677834,1.683245,2.4992,27.12,False
21216,0.873728,1.554544,2.9535,29.58,False
17804,0.380297,1.277606,2.4623,15.44,False
10134,0.880909,1.952002,2.5585,34.43,False
18280,0.669281,1.696678,2.6862,24.92,False
6828,0.943269,2.196644,2.4114,39.12,False
8172,0.7327,1.473004,2.9139,25.15,False
12047,0.934038,1.789658,2.7044,34.54,False
12225,0.62085,1.890531,2.56,24.25,False
3112,1.044761,2.555896,2.9489,35.43,False
824,0.416748,1.384576,3.0425,13.7,False
5210,0.499245,1.305225,2.6937,18.53,False
5073,0.744804,1.653438,2.8813,25.85,False
21491,0.494782,1.223202,2.7017,18.31,False
20188,0.5386,1.757375,2.7526,19.57,False
13547,0.715549,1.788246,3.0128,23.75,False
2374,0.89142,1.743361,2.6777,33.29,False
7068,0.612397,1.746972,2.8484,21.5,False
16944,0.559946,1.698663,2.3844,23.48,False
20694,1.043854,2.064285,2.6221,39.81,False
16027,1.040915,2.558157,2.7416,37.97,False
16100,1.358608,2.026103,3.061,44.39,True
14538,0.858644,1.679994,2.7631,31.08,False
5377,1.130441,2.055626,2.5542,44.26,True
6201,0.646973,1.607868,2.4439,26.47,False
2621,0.667877,1.72101,2.6926,24.8,False
14824,0.835771,1.83939,2.5683,32.54,False
14687,1.02097,1.649161,2.7638,36.94,False
2394,0.672359,1.976987,2.7011,24.89,False
6962,0.809634,1.72716,2.6522,30.53,False
12219,1.077542,1.657635,2.5872,41.65,False
6665,1.197186,1.842579,2.8659,41.77,False
3093,0.511783,2.004689,2.6648,19.21,False
11974,0.980088,2.017772,2.9131,33.64,False
19769,1.152562,1.629777,2.8516,40.42,False
218,0.847664,1.879512,2.6319,32.21,False
18229,0.911676,2.287771,2.8631,31.84,False
8023,0.539423,1.64104,2.7343,19.73,False
476,0.565667,1.692747,2.9161,19.4,False
6278,0.848338,2.251719,2.6815,31.64,False
9685,0.77239,1.751927,2.8629,26.98,False
18752,0.963923,1.694219,2.7128,35.53,False
11490,0.793976,1.774566,2.7311,29.07,False
12027,1.002954,2.098569,2.6341,38.08,False
7317,0.84578,1.31006,2.752,30.73,False
21050,1.021566,1.834732,2.7332,37.38,False
5892,1.248475,2.109089,2.6267,47.53,True
17826,0.598833,1.728585,2.8219,21.22,False
10451,1.019824,1.713997,3.0807,33.1,False
11970,0.970832,2.003907,2.9228,33.22,False
12621,0.616015,1.760384,3.5859,17.18,False
3554,0.544695,1.48202,2.9546,18.44,False
20705,0.494675,1.542691,2.6251,18.84,False
22281,0.794062,1.648689,2.8698,27.67,False
10834,0.77413,2.30421,3.0447,25.43,False
14819,0.478663,1.250053,2.5312,18.91,False
10746,0.357904,2.053419,2.5935,13.8,False
6091,0.329979,1.751825,2.768,11.92,False
1827,0.876397,2.177868,2.7504,31.86,False
1434,0.972464,1.300663,2.7677,35.14,False
17287,0.737575,1.400139,2.7407,26.91,False
10317,1.030163,1.871215,2.8973,35.56,False
10653,0.754354,1.350855,2.7081,27.86,False
9236,0.922984,1.843218,2.6643,34.64,False
21174,0.881788,1.693178,2.8206,31.26,False
3346,1.036229,1.978174,2.688,38.55,False
503,0.853226,1.806963,2.6125,32.66,False
6511,0.734965,1.274666,2.7772,26.46,False
13055,1.363956,1.827821,2.6663,51.16,True
13532,0.373664,1.192129,2.5712,14.53,False
7664,0.979404,1.769022,2.7803,35.23,False
9878,0.921975,1.798762,2.7214,33.88,False
12840,0.994136,1.894458,2.8342,35.08,False
21871,0.798006,1.681485,2.988,26.71,False
20445,1.186092,2.288485,3.1936,37.14,False
6630,0.985345,1.807167,2.8073,35.1,False
3770,0.88315,1.679728,2.6058,33.89,False
17538,0.410079,1.696189,2.684,15.28,False
12989,0.764508,1.992442,2.4919,30.68,False
3872,1.124053,1.960342,2.7388,41.04,False
2285,1.206323,1.774211,2.5839,46.69,True
14981,0.783338,2.327124,2.653,29.53,False
3195,1.10092,2.078679,2.8794,38.23,False
14605,0.399498,1.250773,2.8121,14.21,False
7293,1.116331,1.804528,2.7397,40.75,False
4161,0.760613,1.946027,2.6504,28.7,False
10923,0.790108,1.281603,2.7311,28.93,False
3968,0.819087,1.783687,2.7973,29.28,False
920,0.477028,2.140673,2.8175,16.93,False
17401,0.673,1.47784,2.9392,22.9,False
9195,1.009139,2.083905,2.7148,37.17,False
16753,0.753304,1.830224,2.4891,30.26,False
1867,0.792178,1.274255,2.6513,29.88,False
13907,1.173681,2.305374,2.8774,40.79,False
14374,0.734972,1.710687,2.7977,26.27,False
2094,0.818635,1.753595,2.8643,28.58,False
12921,0.633935,1.280481,2.8771,22.03,False
3102,0.818555,1.857391,3.0677,26.68,False
13878,0.650782,1.684291,2.7962,23.27,False
6829,0.656679,1.782682,2.883,22.78,False
9560,0.243493,1.288564,2.6793,9.09,False
14676,0.591921,1.973779,2.5863,22.89,False
15920,1.216029,1.984228,2.7181,44.74,True
10904,1.173551,2.049289,2.6916,43.6,False
16786,0.678318,1.80973,2.5758,26.33,False
432,1.0203,2.024374,2.8455,35.86,False
18958,0.637386,1.971656,2.5302,25.19,False
10252,0.579525,1.772733,2.6974,21.48,False
3912,0.855678,1.769602,2.6705,32.04,False
12105,0.782306,1.77796,2.4782,31.57,False
12821,0.861711,1.740115,2.7083,31.82,False
17901,0.697829,1.703973,2.5377,27.5,False
6773,0.711912,1.741447,2.8627,24.87,False
15975,0.237151,1.155503,2.6521,8.94,False
4480,0.391416,1.237896,2.714,14.42,False
15587,0.679515,2.120872,2.582,26.32,False
10091,0.783232,1.672111,2.7451,28.53,False
2824,0.83024,2.430862,2.6662,31.14,False
19987,0.806994,1.491261,2.8408,28.41,False
9899,0.342499,1.820158,2.6982,12.69,False
2134,0.758866,1.427914,2.7693,27.4,False
1755,1.177389,1.792143,2.5171,46.78,True
6029,0.907357,1.723557,2.8396,31.95,False
16322,0.497393,1.842393,2.9466,16.88,False
9953,0.666577,1.597625,2.64,25.25,False
17477,0.676239,1.270636,2.9339,23.05,False
15880,0.476191,1.686156,2.8034,16.99,False
5785,0.787236,1.952842,3.3295,23.64,False
17252,0.798561,1.717564,2.7619,28.91,False
5838,0.81048,1.580188,2.697,30.05,False
21473,0.725304,1.713229,2.6676,27.19,False
16933,0.747862,1.252128,2.3664,31.6,False
5891,0.73867,1.78368,2.6061,28.34,False
10135,0.841759,1.391188,2.5534,32.97,False
