ROW_ID,centroid_distance,top1_feature,top1_contribution,top2_feature,top3_feature
1023,2.7419,PD_ESTIMADA,0.9142,COLATERAL_TIPO=GARANTIA_PERSONAL,CAUSA_DEFAULT=IMPROBABLE_PAGO
1024,2.6585,PD_ESTIMADA,0.9142,COLATERAL_TIPO=GARANTIA_PERSONAL,CAUSA_DEFAULT=IMPROBABLE_PAGO
2612,2.9582,COLATERAL_TIPO=GARANTIA_PERSONAL,0.8991,ADJUDICACION_TIPO=DACION_PAGO,TERMINACION=SUBASTA
2673,2.6639,ESTADO_CICLO=CERRADO,0.9035,COLATERAL_TIPO=GARANTIA_PERSONAL,TERMINACION=SUBASTA
2717,2.7921,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,TERMINACION=VENTA_CARTERA
2718,2.8288,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,TERMINACION=VENTA_CARTERA
2719,2.6715,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,TERMINACION=VENTA_CARTERA
2721,2.8499,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,TERMINACION=VENTA_CARTERA,COLATERAL_TIPO=NINGUNA
2722,2.7191,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,TERMINACION=VENTA_CARTERA,COLATERAL_TIPO=NINGUNA
2723,3.0018,ESTADO_CICLO=CERRADO,0.9035,CAUSA_DEFAULT=IMPROBABLE_PAGO,TERMINACION=VENTA_CARTERA
3047,2.9684,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,TERMINACION=VENTA_CARTERA
3048,3.0156,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,TERMINACION=VENTA_CARTERA
3049,2.7696,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,TERMINACION=VENTA_CARTERA
3050,2.696,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,TERMINACION=VENTA_CARTERA,STAGE_IFRS9
3052,2.7701,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,TERMINACION=VENTA_CARTERA,STAGE_IFRS9
3053,3.0654,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,TERMINACION=VENTA_CARTERA,STAGE_IFRS9
3054,3.0046,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,TERMINACION=VENTA_CARTERA,STAGE_IFRS9
3055,3.1386,ESTADO_CICLO=CERRADO,0.9035,RECUPERACION_ACUMULADA,CAUSA_DEFAULT=IMPROBABLE_PAGO
3753,2.9545,ESTADO_CICLO=CERRADO,0.9035,CAUSA_DEFAULT=IMPROBABLE_PAGO,TERMINACION=VENTA_CARTERA
5513,2.8657,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,PRODUCTO=TARJETA
5514,2.8571,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,PRODUCTO=TARJETA
5758,2.8497,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,PRODUCTO=TARJETA
5759,2.8202,PD_ESTIMADA,0.9142,CAUSA_DEFAULT=IMPROBABLE_PAGO,PRODUCTO=TARJETA
5819,2.6622,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
5824,2.6839,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
5825,2.6899,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
5826,2.7067,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
5827,2.665,CAUSA_DEFAULT=IMPROBABLE_PAGO,0.895,PRODUCTO=TARJETA,COLATERAL_TIPO=NINGUNA
5876,2.771,CAUSA_DEFAULT=QUIEBRA,0.9255,ESTADO_CICLO=CERRADO,TERMINACION=VENTA_CARTERA
5938,2.6963,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,STAGE_IFRS9
5939,2.6998,CAUSA_DEFAULT=QUIEBRA,0.9255,PD_ESTIMADA,STAGE_IFRS9
6211,2.6586,ESTADO_CICLO=CERRADO,0.9035,TERMINACION=VENTA_CARTERA,COLATERAL_TIPO=FINANCIERO
