dimension,ks_statistic,p_value,significant_005,mean_early,mean_late,mean_shift
EMB_1,0.1303,3.3489e-83,True,0.2176,0.2809,0.0632
EMB_2,0.1999,2.5635e-196,True,0.1262,0.2718,0.1456
EMB_3,0.0557,1.5662e-15,True,-0.0333,-0.0083,0.0249
EMB_4,0.2367,3.5831e-276,True,-0.0472,0.1094,0.1567
EMB_5,0.1171,3.1274e-67,True,-0.1686,-0.0985,0.0701
EMB_6,0.0386,1.1581e-07,True,0.4047,0.4121,0.0074
EMB_7,0.0741,3.7019e-27,True,-0.118,-0.1528,-0.0348
EMB_8,0.1556,1.2426e-118,True,0.2772,0.1591,-0.1181
EMB_9,0.0495,2.3665e-12,True,0.3884,0.3621,-0.0263
EMB_10,0.0421,4.6093e-09,True,0.0479,0.0345,-0.0134
EMB_11,0.0613,1.0088e-18,True,-0.4801,-0.4683,0.0118
EMB_12,0.159,5.7086e-124,True,-0.1059,-0.1757,-0.0697
EMB_13,0.2144,4.5076e-226,True,0.2653,0.3981,0.1328
EMB_14,0.0726,4.5368e-26,True,0.0034,0.0185,0.0151
EMB_15,0.2496,1.9608e-307,True,0.6986,0.519,-0.1797
EMB_16,0.1366,2.1676e-91,True,0.0246,-0.0371,-0.0617
EMB_17,0.0361,8.8124e-07,True,0.0739,0.0817,0.0078
EMB_18,0.1477,6.7996e-107,True,0.1834,0.2557,0.0723
EMB_19,0.2145,3.1674e-226,True,0.0811,0.2002,0.1191
EMB_20,0.0897,1.3409e-39,True,-0.0107,-0.0631,-0.0524
EMB_21,0.0404,2.2029e-08,True,-0.0696,-0.0885,-0.0189
EMB_22,0.1054,1.3785e-54,True,0.0448,0.0054,-0.0395
EMB_23,0.0692,9.8298e-24,True,0.0732,0.1051,0.0318
EMB_24,0.0802,1.0015e-31,True,-0.0395,-0.0661,-0.0266
EMB_25,0.0581,7.4192e-17,True,0.7304,0.7666,0.0362
EMB_26,0.286,0.0000e+00,True,0.2545,0.0618,-0.1926
EMB_27,0.2218,3.9601e-242,True,0.0189,0.1445,0.1256
EMB_28,0.1022,2.9144e-51,True,0.227,0.2915,0.0645
EMB_29,0.0863,1.1580e-36,True,-0.1822,-0.2201,-0.0379
EMB_30,0.201,1.4964e-198,True,-0.2644,-0.3887,-0.1242
EMB_31,0.0347,2.7542e-06,True,0.0467,0.0674,0.0207
EMB_32,0.1792,1.5858e-157,True,0.3127,0.3986,0.0859
EMB_33,0.1014,1.7099e-50,True,-0.064,-0.0913,-0.0272
EMB_34,0.0595,1.1638e-17,True,0.4706,0.4948,0.0243
EMB_35,0.2261,1.2283e-251,True,-0.0999,-0.2337,-0.1339
EMB_36,0.0856,4.2839e-36,True,-0.0345,0.0166,0.0511
EMB_37,0.1091,1.9613e-58,True,0.4749,0.5158,0.0408
EMB_38,0.2213,5.6646e-241,True,0.483,0.3424,-0.1406
EMB_39,0.0535,2.3563e-14,True,0.3391,0.3528,0.0137
EMB_40,0.2056,8.8696e-208,True,0.1843,0.0658,-0.1185
EMB_41,0.1803,1.9576e-159,True,0.3016,0.1844,-0.1172
EMB_42,0.2056,9.8117e-208,True,-0.2475,-0.0988,0.1487
EMB_43,0.1296,2.8440e-82,True,0.2801,0.3408,0.0607
EMB_44,0.0981,2.9304e-47,True,0.018,-0.049,-0.067
EMB_45,0.1514,2.2782e-112,True,-0.0888,0.0071,0.0959
EMB_46,0.132,2.0221e-85,True,0.47,0.3836,-0.0864
EMB_47,0.2995,0.0000e+00,True,0.166,-0.1033,-0.2694
EMB_48,0.0726,4.2786e-26,True,0.4377,0.4098,-0.0279
EMB_49,0.0983,1.9634e-47,True,-0.2918,-0.3486,-0.0568
EMB_50,0.0583,5.6976e-17,True,-0.0652,-0.072,-0.0068
