field,sample_pos,row_id,label,normalized_entropy
SEGMENTO,11,16190,CORP,0.9928
SEGMENTO,121,11742,SME,0.8113
SEGMENTO,269,16199,CORP,0.8813
SEGMENTO,270,11731,SME,0.8113
SEGMENTO,350,4654,RETAIL,0.9928
SEGMENTO,424,13594,SME,0.9928
SEGMENTO,536,11733,SME,0.8113
SEGMENTO,563,11739,SME,0.8113
SEGMENTO,593,4647,RETAIL,0.9928
SEGMENTO,602,4646,RETAIL,0.9928
SEGMENTO,656,4638,RETAIL,0.9928
SEGMENTO,718,16193,CORP,0.8813
SEGMENTO,935,13844,RETAIL,0.9341
SEGMENTO,1157,10364,CORP,0.8113
SEGMENTO,1430,4630,RETAIL,0.9928
SEGMENTO,1518,4640,RETAIL,0.9928
SEGMENTO,1589,1347,RETAIL,0.8813
SEGMENTO,1646,13847,RETAIL,0.971
SEGMENTO,1906,4643,RETAIL,0.9928
SEGMENTO,1916,4642,RETAIL,0.9928
SEGMENTO,1927,4635,RETAIL,0.9928
SEGMENTO,1932,13605,SME,0.9928
SEGMENTO,2180,13835,RETAIL,0.8813
SEGMENTO,2253,4407,SME,1.0
SEGMENTO,2324,11701,SME,0.8113
SEGMENTO,2397,15424,RETAIL,1.0
SEGMENTO,2743,16015,RETAIL,0.8813
SEGMENTO,2826,15439,RETAIL,1.0
SEGMENTO,3014,16173,CORP,0.971
SEGMENTO,3020,16195,CORP,0.971
SEGMENTO,3187,13841,RETAIL,0.8813
SEGMENTO,3307,13590,SME,0.9928
SEGMENTO,3328,11732,SME,0.8813
SEGMENTO,3651,15440,RETAIL,1.0
SEGMENTO,3742,11724,SME,0.8813
SEGMENTO,4036,4658,RETAIL,0.9928
SEGMENTO,4232,10353,CORP,0.8113
SEGMENTO,4568,16208,CORP,0.8813
SEGMENTO,4582,2674,RETAIL,0.8813
SEGMENTO,4623,16197,CORP,0.8813
SEGMENTO,4649,11737,SME,0.8813
SEGMENTO,4757,2095,RETAIL,0.8813
SEGMENTO,4816,15445,RETAIL,1.0
CALIBRATION_SEGMENT,2,14231,RETAIL_REVOLVING,1.0
