field,label,silhouette
TERMINACION,FALLIDO,-0.0545
TERMINACION,DACCION_PAGO,-0.0575
TERMINACION,VENTA_CARTERA,-0.0587
TERMINACION,DACCION_PAGO,-0.0758
TERMINACION,DACCION_PAGO,-0.0833
TERMINACION,DACCION_PAGO,-0.0571
TERMINACION,SUBASTA,-0.0508
TERMINACION,SUBASTA,-0.0662
TERMINACION,SUBASTA,-0.0953
TERMINACION,SUBASTA,-0.0652
TERMINACION,PAGO_VOLUNTARIO,-0.1063
TERMINACION,FALLIDO,-0.0617
TERMINACION,FALLIDO,-0.0784
TERMINACION,SUBASTA,-0.0786
TERMINACION,SUBASTA,-0.0874
TERMINACION,PAGO_VOLUNTARIO,-0.0656
TERMINACION,PAGO_VOLUNTARIO,-0.0715
TERMINACION,PAGO_VOLUNTARIO,-0.0737
TERMINACION,SUBASTA,-0.0729
TERMINACION,SUBASTA,-0.0691
TERMINACION,FALLIDO,-0.0739
TERMINACION,FALLIDO,-0.0955
TERMINACION,FALLIDO,-0.0558
TERMINACION,SUBASTA,-0.0576
TERMINACION,SUBASTA,-0.0769
TERMINACION,PAGO_VOLUNTARIO,-0.0969
TERMINACION,SUBASTA,-0.0615
TERMINACION,SUBASTA,-0.0624
TERMINACION,DACCION_PAGO,-0.0781
TERMINACION,FALLIDO,-0.0624
TERMINACION,FALLIDO,-0.0614
TERMINACION,SUBASTA,-0.0643
TERMINACION,SUBASTA,-0.0804
TERMINACION,SUBASTA,-0.0626
TERMINACION,LIQUIDACION,-0.0659
TERMINACION,SUBASTA,-0.0725
TERMINACION,PAGO_VOLUNTARIO,-0.1009
TERMINACION,SUBASTA,-0.0542
TERMINACION,SUBASTA,-0.0709
TERMINACION,FALLIDO,-0.0629
TERMINACION,PAGO_VOLUNTARIO,-0.069
TERMINACION,SUBASTA,-0.0634
TERMINACION,SUBASTA,-0.0612
TERMINACION,SUBASTA,-0.0563
TERMINACION,SUBASTA,-0.0787
TERMINACION,SUBASTA,-0.0877
TERMINACION,SUBASTA,-0.0542
TERMINACION,SUBASTA,-0.0581
TERMINACION,SUBASTA,-0.067
TERMINACION,FALLIDO,-0.0603
STAGE_IFRS9,3,-0.0518
STAGE_IFRS9,3,-0.0641
STAGE_IFRS9,3,-0.0869
STAGE_IFRS9,3,-0.0618
STAGE_IFRS9,3,-0.0578
STAGE_IFRS9,2,-0.0519
STAGE_IFRS9,1,-0.0719
STAGE_IFRS9,3,-0.0636
STAGE_IFRS9,3,-0.055
STAGE_IFRS9,3,-0.0811
STAGE_IFRS9,3,-0.0742
STAGE_IFRS9,3,-0.0605
STAGE_IFRS9,3,-0.0676
STAGE_IFRS9,3,-0.0644
STAGE_IFRS9,3,-0.0502
STAGE_IFRS9,3,-0.0616
STAGE_IFRS9,3,-0.0656
STAGE_IFRS9,3,-0.0539
STAGE_IFRS9,3,-0.0597
STAGE_IFRS9,3,-0.0545
STAGE_IFRS9,3,-0.0539
STAGE_IFRS9,3,-0.1128
STAGE_IFRS9,3,-0.0643
STAGE_IFRS9,3,-0.0801
STAGE_IFRS9,3,-0.0881
STAGE_IFRS9,3,-0.0757
STAGE_IFRS9,3,-0.052
STAGE_IFRS9,3,-0.0626
STAGE_IFRS9,3,-0.0559
STAGE_IFRS9,3,-0.0821
STAGE_IFRS9,3,-0.0522
STAGE_IFRS9,3,-0.0711
STAGE_IFRS9,1,-0.0698
STAGE_IFRS9,1,-0.1076
STAGE_IFRS9,1,-0.0771
STAGE_IFRS9,3,-0.0634
STAGE_IFRS9,3,-0.0571
STAGE_IFRS9,3,-0.0586
STAGE_IFRS9,3,-0.1048
