component,eigenvalue,variance_pct,cumulative_pct
1,0.820832,21.02,21.02
2,0.371788,9.52,30.54
3,0.306587,7.85,38.39
4,0.301037,7.71,46.1
5,0.239779,6.14,52.24
6,0.223136,5.71,57.95
7,0.175454,4.49,62.44
8,0.164553,4.21,66.65
9,0.148105,3.79,70.45
10,0.135278,3.46,73.91
11,0.110087,2.82,76.73
12,0.101927,2.61,79.34
13,0.091178,2.33,81.67
14,0.086389,2.21,83.89
15,0.081048,2.08,85.96
16,0.071675,1.84,87.8
17,0.060034,1.54,89.33
18,0.059556,1.52,90.86
19,0.049072,1.26,92.12
20,0.045491,1.16,93.28
21,0.038968,1.0,94.28
22,0.036832,0.94,95.22
23,0.033492,0.86,96.08
24,0.027713,0.71,96.79
25,0.026334,0.67,97.46
26,0.021574,0.55,98.01
27,0.018888,0.48,98.5
28,0.016246,0.42,98.91
29,0.00891,0.23,99.14
30,0.006898,0.18,99.32
31,0.005797,0.15,99.47
32,0.004139,0.11,99.57
33,0.003543,0.09,99.66
34,0.0027,0.07,99.73
35,0.002112,0.05,99.79
36,0.001958,0.05,99.84
37,0.001573,0.04,99.88
38,0.001235,0.03,99.91
39,0.001081,0.03,99.94
40,0.000689,0.02,99.95
41,0.000575,0.01,99.97
42,0.000361,0.01,99.98
43,0.000268,0.01,99.99
44,0.00021,0.01,99.99
45,0.000171,0.0,100.0
46,7.2e-05,0.0,100.0
47,3.9e-05,0.0,100.0
48,2.6e-05,0.0,100.0
49,2.1e-05,0.0,100.0
50,1.7e-05,0.0,100.0
