COLUMN,VALUE,CODE
SEGMENTO,CORP,1
SEGMENTO,MORTGAGE,2
SEGMENTO,RETAIL,3
SEGMENTO,SME,4
CALIBRATION_SEGMENT,CORP_LARGE,1
CALIBRATION_SEGMENT,CORP_MID,2
CALIBRATION_SEGMENT,CORP_SMALL,3
CALIBRATION_SEGMENT,MORTGAGE_LTV_HIGH,4
CALIBRATION_SEGMENT,MORTGAGE_LTV_LOW,5
CALIBRATION_SEGMENT,MORTGAGE_LTV_MED,6
CALIBRATION_SEGMENT,RETAIL_OTHER,7
CALIBRATION_SEGMENT,RETAIL_REVOLVING,8
CALIBRATION_SEGMENT,SME_MEDIUM,9
CALIBRATION_SEGMENT,SME_MICRO,10
CALIBRATION_SEGMENT,SME_SMALL,11
PRODUCTO,HIPOTECA,1
PRODUCTO,LINEA_CREDITO,2
PRODUCTO,PRESTAMO,3
PRODUCTO,TARJETA,4
TERMINACION,DACCION_PAGO,1
TERMINACION,FALLIDO,2
TERMINACION,LIQUIDACION,3
TERMINACION,PAGO_VOLUNTARIO,4
TERMINACION,SUBASTA,5
TERMINACION,VENTA_CARTERA,6
CAUSA_DEFAULT,90_DIAS_VENCIDO,1
CAUSA_DEFAULT,IMPROBABLE_PAGO,2
CAUSA_DEFAULT,QUIEBRA,3
COLATERAL_TIPO,FINANCIERO,1
COLATERAL_TIPO,GARANTIA_PERSONAL,2
COLATERAL_TIPO,HIPOTECA,3
COLATERAL_TIPO,NINGUNA,4
COLATERAL_TIPO,PRENDA,5
ADJUDICACION_TIPO,DACION_PAGO,1
ADJUDICACION_TIPO,SUBASTA_INMOBILIARIA,2
ADJUDICACION_TIPO,SUBASTA_MUEBLE,3
ADJUDICACION_TIPO,VENTA_EXTRAJUDICIAL,4
ADJUDICACION_TIPO,VENTA_JUDICIAL,5
ESTADO_CICLO,CERRADO,1
ESTADO_CICLO,ESTIMACION,2
ESTADO_CICLO,RECUPERACION,3
