ROW_ID,EMB_1,EMB_2,EMB_3,EMB_4,EMB_5,EMB_6,EMB_7,EMB_8,EMB_9,EMB_10,EMB_11,EMB_12,EMB_13,EMB_14,EMB_15,EMB_16,EMB_17,EMB_18,EMB_19,EMB_20,EMB_21,EMB_22,EMB_23,EMB_24,EMB_25,EMB_26,EMB_27,EMB_28,EMB_29,EMB_30,EMB_31,EMB_32,EMB_33,EMB_34,EMB_35,EMB_36,EMB_37,EMB_38,EMB_39,EMB_40,EMB_41,EMB_42,EMB_43,EMB_44,EMB_45,EMB_46,EMB_47,EMB_48,EMB_49,EMB_50,ID_CONTR_CICLO_LGD,ID_FUSION_FINAL,SEGMENTO,CALIBRATION_SEGMENT,PRODUCTO,TERMINACION,CAUSA_DEFAULT,FECHA_DEFAULT,OR_DISPTO,COLATERAL_TIPO,VALOR_COLATERAL_INICIAL,TIPO_INTERES_ORIGINAL,FECHA_REFERENCIA,MES_CICLO,PD_ESTIMADA,LGD_ESTIMADA,LGD_REALIZADA,EAD,ECL,PROVISION,STAGE_IFRS9,CURE_FLAG,DPDS,RATING_GRADO,SALDO_PENDIENTE,TIPO_INTERES_ACTUAL,INTERESES_ACUMULADOS,FLUJO_RECUPERADO,COSTE_RECUPERACION,FLUJO_NETO,RECUPERACION_ACUMULADA,COSTE_TOTAL_ACUMULADO,ADJUDICACION_FLAG,ADJUDICACION_TIPO,ADJUDICACION_VALOR,VALOR_COLATERAL,LTV,TASA_DESCUENTO,RWA,ESTADO_CICLO
1,-0.22694496,-0.25688142,0.07505900,-0.66799962,0.44126438,0.39945868,0.28549731,0.31304866,0.38492379,-0.14480019,-0.62082888,0.19268028,0.49953126,-0.19601282,0.35498759,-0.02441428,0.09693978,-0.27137754,-0.19569477,-0.00442472,0.42114267,-0.04784903,0.05778031,0.25408089,1.51848020,0.11644362,-0.00463233,-0.28956316,-0.28354285,-0.80670183,0.28120335,0.02696463,-0.12929271,0.02496167,-0.06338296,-0.21689412,0.26594485,0.26694519,0.20194125,0.54907959,0.48041576,-0.50547639,0.12212910,0.42440795,-0.38698280,0.78334410,0.25821883,0.14578646,-0.06265027,-0.26941347,100001_201903,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-03-01,1,1.0,0.36878472,1.0,1048526.41,386680.52,386680.52,3,0,30,9,1369564.0,0.06032,6884.34,0.0,0.0,0.0,0.0,0.0,0,,0.0,468573.03,2.911467,0.047562,82177.93,ESTIMACION
2,-0.21580773,-0.21703479,0.01064725,-0.61860711,0.46009627,0.20916637,0.33393830,0.27818797,0.45012519,-0.14865901,-0.61482022,0.07180194,0.45603127,-0.16420215,0.32894900,0.10075651,0.08563435,-0.21135964,-0.23779969,-0.04641981,0.41515101,0.07196679,0.14926592,0.33939317,1.53004625,0.18209109,0.00742335,-0.29654392,-0.29812259,-0.82346107,0.20661864,-0.04370848,0.04107110,-0.03726791,-0.11061446,-0.20813435,0.26602682,0.35044786,0.24107197,0.51943599,0.38965230,-0.55266503,0.07678763,0.42939501,-0.38864563,0.68849911,0.22239254,0.14624544,-0.22527185,-0.29513409,100001_201904,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-04-01,2,1.0,0.38681944,1.0,1048526.41,405590.4,405590.4,3,0,60,9,1369564.0,0.06032,13768.68,0.0,0.0,0.0,0.0,0.0,0,,0.0,463548.57,2.911467,0.023587,72322.47,ESTIMACION
3,-0.22700031,-0.19951329,0.02592633,-0.61514017,0.46238451,0.24072388,0.34086571,0.31807987,0.44860429,-0.14787974,-0.62014236,0.08672763,0.46320930,-0.17609647,0.32879659,0.08243837,0.08949581,-0.21245320,-0.21381579,-0.04876981,0.41824369,0.07591814,0.12365049,0.33666555,1.54489934,0.18347096,-0.00459251,-0.29834982,-0.32477229,-0.82614626,0.19794786,-0.02154164,-0.00275438,-0.01750777,-0.10140180,-0.20689759,0.27609930,0.34029827,0.26039909,0.54234363,0.42425793,-0.56055879,0.11088044,0.42547913,-0.37234697,0.70991221,0.23259758,0.15388031,-0.21735039,-0.30690214,100001_201905,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-05-01,3,1.0,0.40485417,1.0,1048526.41,424500.29,424500.29,3,0,90,10,1369564.0,0.06032,20653.02,0.0,0.0,0.0,0.0,0.0,0,,0.0,466568.74,2.911467,0.026685,75981.12,ESTIMACION
4,-0.21079522,-0.09106574,0.21648202,-0.37467425,0.18736007,-0.10958422,0.22935797,0.16094223,0.60472666,0.04698286,-0.73835379,-0.08472268,0.66538456,-0.13087504,0.63633069,-0.01910183,-0.15077651,-0.24798292,-0.11453486,0.13008436,0.39012745,0.15741756,0.20115612,0.09438119,1.58093860,0.21378683,0.22678079,0.08116392,-0.25147302,-0.76596461,0.07521461,0.23006135,0.21364976,0.21770158,-0.09767609,-0.08816610,0.36651529,0.54482245,0.22342901,0.56590553,0.35246125,-0.23915918,0.31345898,-0.08517477,-0.39702231,0.54258545,-0.13199499,0.10281878,-0.23891356,-0.06957598,100001_201906,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-06-01,4,0.49246667,0.42288889,1.0,1048526.41,218364.73,218364.73,3,0,120,9,1369564.0,0.06032,27537.36,0.0,0.0,0.0,0.0,0.0,0,,0.0,462297.03,2.911467,0.020237,96815.12,RECUPERACION
5,-0.21273751,-0.11422022,0.26464315,-0.41813475,0.17637414,0.05471750,0.19482082,0.19624204,0.55261076,0.04701988,-0.73453957,0.01266833,0.70569410,-0.15669609,0.65660001,-0.12713113,-0.14068087,-0.29358130,-0.06496064,0.15937264,0.39054439,0.06073583,0.12535766,0.02012064,1.58502119,0.15348337,0.21869121,0.08449902,-0.23924595,-0.75723965,0.13396191,0.29497066,0.06760160,0.27008676,-0.07044869,-0.09917836,0.36202653,0.47197109,0.19063300,0.58359660,0.43256724,-0.18902665,0.35761506,-0.08723785,-0.38494800,0.61848172,-0.11619271,0.10897485,-0.09831306,-0.05202097,100001_201907,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-07-01,5,0.48413333,0.44092361,1.0,1048526.41,223824.55,223824.55,3,0,150,9,1369564.0,0.06032,34421.7,0.0,0.0,0.0,0.0,0.0,0,,0.0,460052.99,2.911467,0.04075,96178.68,RECUPERACION
6,-0.20724495,-0.09528500,0.23342614,-0.39484952,0.18251797,-0.02447447,0.21768552,0.18002442,0.58228578,0.04405012,-0.73100722,-0.03744879,0.68824618,-0.14361938,0.64319004,-0.07445074,-0.14427463,-0.26639892,-0.07838396,0.13990178,0.38613725,0.11555624,0.16557682,0.05449807,1.59031767,0.17887147,0.22441299,0.08210277,-0.24768048,-0.76789022,0.09818627,0.26522794,0.14035900,0.24486092,-0.09686753,-0.09587902,0.36165720,0.50617176,0.20576988,0.56922709,0.39168625,-0.20702279,0.34028389,-0.08595834,-0.38304100,0.57817794,-0.13585289,0.10999905,-0.16534992,-0.06526448,100001_201908,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-08-01,6,0.4758,0.45895833,1.0,1048526.41,228969.2,228969.2,3,0,180,9,1369564.0,0.06032,41306.04,0.0,0.0,0.0,0.0,0.0,0,,0.0,454202.16,2.911467,0.030605,98533.12,RECUPERACION
7,-0.20711399,-0.10945147,0.26822846,-0.42760814,0.17712909,0.09396348,0.19252572,0.20926715,0.54328150,0.04458482,-0.72358704,0.03023284,0.71765235,-0.16197351,0.65851614,-0.15396169,-0.13800915,-0.29912597,-0.04004463,0.16063369,0.38549613,0.04419678,0.10972391,0.00075943,1.59857151,0.13342437,0.21969193,0.08395476,-0.23706411,-0.76221064,0.14155239,0.31376314,0.03413684,0.28286934,-0.07787334,-0.10403476,0.35741485,0.45265178,0.18300318,0.57987467,0.45347389,-0.16803948,0.37333477,-0.08739376,-0.37323603,0.63096595,-0.12780520,0.11679294,-0.06318786,-0.05277192,100001_201909,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-09-01,7,0.46746667,0.47699306,1.0,1048526.41,233798.69,233798.69,3,0,210,9,1369564.0,0.06032,48190.38,0.0,0.0,0.0,0.0,0.0,0,,0.0,453001.61,2.911467,0.045549,88579.5,RECUPERACION
8,-0.21874217,-0.09219806,0.29172570,-0.43181087,0.17831194,0.14381251,0.19091022,0.25913747,0.53057290,0.04835481,-0.71969893,0.05326059,0.72898857,-0.17812867,0.66181763,-0.18864926,-0.13504238,-0.30577376,-0.01049646,0.16356504,0.38797496,0.03247890,0.07075426,-0.01201506,1.61944194,0.12361443,0.20834461,0.08371372,-0.25842250,-0.76461951,0.14311840,0.34488099,-0.02803810,0.31090387,-0.06310662,-0.10271435,0.36644597,0.43124778,0.19971695,0.60353274,0.50445378,-0.16748817,0.41394236,-0.09400572,-0.35895628,0.65879089,-0.11738417,0.12804627,-0.03668570,-0.06200347,100001_201910,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-10-01,8,0.45913333,0.49502778,1.0,1048526.41,238313.02,238313.02,3,0,240,10,1362928.61,0.06032,55074.72,6635.39,150.08,6485.31,6635.39,150.08,0,,0.0,457025.4,2.897362,0.051386,76089.16,RECUPERACION
9,-0.21146670,-0.06258171,0.23679188,-0.38748679,0.18797892,-0.00355444,0.23033408,0.22598075,0.58335566,0.04200845,-0.72108215,-0.03484608,0.69575171,-0.15381867,0.63580387,-0.09197484,-0.14265365,-0.25978622,-0.04133825,0.12961685,0.38428294,0.13076798,0.14519232,0.05138992,1.61959383,0.17280506,0.21738987,0.07989794,-0.27478611,-0.78038229,0.07917804,0.28917483,0.10554714,0.26388439,-0.10605197,-0.09659216,0.36713542,0.49428670,0.22714568,0.58134811,0.42651047,-0.20514215,0.37792225,-0.09203080,-0.35927822,0.58772660,-0.14482053,0.12544174,-0.15993241,-0.08316064,100001_201911,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-11-01,9,0.4508,0.51148042,0.9936717,1048526.41,241764.37,241764.37,3,0,270,10,1362928.61,0.06032,61658.91,0.0,0.0,0.0,6635.39,150.08,0,,0.0,456794.95,2.897362,0.032692,88675.2,RECUPERACION
10,-0.19156086,-0.06618898,0.20889100,-0.38767245,0.19151164,-0.04821474,0.23501216,0.18770731,0.59491020,0.03724928,-0.70774632,-0.06478243,0.68841954,-0.13819534,0.63134468,-0.06405309,-0.14589109,-0.24773030,-0.05483140,0.12178433,0.37582166,0.14361562,0.18133496,0.05932563,1.61794381,0.17279254,0.23225936,0.07818308,-0.25075343,-0.78507664,0.07567408,0.26557182,0.16300051,0.23836898,-0.13323556,-0.10065723,0.35241510,0.50979579,0.21083874,0.54855853,0.38539114,-0.19149779,0.34551805,-0.08562406,-0.36445399,0.55397231,-0.17275996,0.12405852,-0.17946411,-0.07825827,100001_201912,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-12-01,10,0.44246667,0.52933936,0.9936717,1048526.41,245580.64,245580.64,3,0,300,9,1362928.61,0.06032,68509.9,0.0,0.0,0.0,6635.39,150.08,0,,0.0,435186.0,2.897362,0.027637,79251.7,RECUPERACION
