COLUMN,MIN,MAX,RANGE
OR_DISPTO,3089.92,9974341.8,9971251.88
VALOR_COLATERAL_INICIAL,0.0,7331853.24,7331853.24
TIPO_INTERES_ORIGINAL,0.01528,0.24966,0.23438
MES_CICLO,1.0,84.0,83.0
PD_ESTIMADA,0.0003,1.0,0.9997
LGD_ESTIMADA,0.05376373,1.0,0.94623627
LGD_REALIZADA,0.05359046,1.0,0.94640954
EAD,2806.16,8392557.54,8389751.379999999
ECL,4.27,6121375.26,6121370.99
PROVISION,4.27,6121375.26,6121370.99
STAGE_IFRS9,1.0,3.0,2.0
CURE_FLAG,0.0,1.0,1.0
DPDS,30.0,2520.0,2490.0
RATING_GRADO,1.0,10.0,9.0
SALDO_PENDIENTE,121.88,9974341.8,9974219.92
TIPO_INTERES_ACTUAL,0.01517,0.24966,0.23449
INTERESES_ACUMULADOS,13.4,11085081.0,11085067.6
FLUJO_RECUPERADO,0.0,2626696.12,2626696.12
COSTE_RECUPERACION,0.0,123832.69,123832.69
FLUJO_NETO,0.0,2509986.18,2509986.18
RECUPERACION_ACUMULADA,0.0,8241710.6,8241710.6
COSTE_TOTAL_ACUMULADO,0.0,257770.19,257770.19
ADJUDICACION_FLAG,0.0,1.0,1.0
ADJUDICACION_VALOR,0.0,2860156.97,2860156.97
VALOR_COLATERAL,0.0,7305505.93,7305505.93
LTV,0.0,3.188509,3.188509
TASA_DESCUENTO,0.015137,0.054845,0.039708
RWA,181.48,779830.63,779649.15
