id,question,answer
1,¿Cuáles fueron los resultados de Banco Santander en 2023?,"En 2023, Banco Santander obtuvo un beneficio neto de 11.076 millones EUR. El banco contaba con un activo total de 1.720.000 millones EUR y mantuvo un ratio de capital del 12.8%."
2,¿Cuánto ganó Banco Santander en 2023?,Banco Santander obtuvo un beneficio neto de 11.076 millones EUR en 2023.
3,¿Cuál es el tamaño del balance de Banco Santander en 2023?,El activo total de Banco Santander en 2023 ascendió a 1.720.000 millones EUR.
4,¿Cómo está la solvencia de Banco Santander en 2023?,"El ratio de capital (CET1) de Banco Santander en 2023 fue del 12.8%, lo que refleja una sólida posición de solvencia."
5,¿Qué rentabilidad tuvo Banco Santander sobre sus recursos propios en 2023?,El ROE (rentabilidad sobre recursos propios) de Banco Santander en 2023 fue del 14.8%.
6,¿Cuál fue la tasa de morosidad de Banco Santander en 2023?,La tasa de morosidad de Banco Santander en 2023 se situó en el 3.14%.
7,Dame un resumen del desempeño de Banco Santander en 2023,"Banco Santander presentó resultados sólidos en 2023, con un beneficio neto atribuido de 11.076 millones de euros. El banco mantuvo una posición de capital robusta con un ratio CET1 de 12.8%, reflejando su solidez financiera. La transformación digital continuó siendo una prioridad estratégica."
8,¿Cuáles fueron los aspectos más destacados de Banco Santander en 2023?,Los aspectos más destacados de Banco Santander en 2023 fueron: Total de clientes: 164 millones; Presencia en 10 mercados principales; Inversión en tecnología: 5.800 millones EUR; Ratio de eficiencia: 43.7%
9,¿Cuáles fueron los resultados de Banco Santander en 2022?,"En 2022, Banco Santander obtuvo un beneficio neto de 9.605 millones EUR. El banco contaba con un activo total de 1.661.486 millones EUR y mantuvo un ratio de capital del 12.2%."
10,¿Cuánto ganó Banco Santander en 2022?,Banco Santander obtuvo un beneficio neto de 9.605 millones EUR en 2022.
11,¿Cuál es el tamaño del balance de Banco Santander en 2022?,El activo total de Banco Santander en 2022 ascendió a 1.661.486 millones EUR.
12,¿Cómo está la solvencia de Banco Santander en 2022?,"El ratio de capital (CET1) de Banco Santander en 2022 fue del 12.2%, lo que refleja una sólida posición de solvencia."
13,¿Qué rentabilidad tuvo Banco Santander sobre sus recursos propios en 2022?,El ROE (rentabilidad sobre recursos propios) de Banco Santander en 2022 fue del 13.2%.
14,¿Cuál fue la tasa de morosidad de Banco Santander en 2022?,La tasa de morosidad de Banco Santander en 2022 se situó en el 3.21%.
15,Dame un resumen del desempeño de Banco Santander en 2022,"En 2022, Banco Santander logró un beneficio neto de 9.605 millones de euros, mostrando resiliencia en un entorno macroeconómico complejo. El banco fortaleció su posición de capital y continuó invirtiendo en su transformación digital."
16,¿Cuáles fueron los aspectos más destacados de Banco Santander en 2022?,Los aspectos más destacados de Banco Santander en 2022 fueron: Total de clientes: 160 millones; Lanzamiento de nuevas plataformas digitales; Inversión en sostenibilidad: finanzas verdes
17,¿Cuáles fueron los resultados de CaixaBank en 2023?,"En 2023, CaixaBank obtuvo un beneficio neto de 5.787 millones EUR. El banco contaba con un activo total de 696.414 millones EUR y mantuvo un ratio de capital del 13.1%."
18,¿Cuánto ganó CaixaBank en 2023?,CaixaBank obtuvo un beneficio neto de 5.787 millones EUR en 2023.
19,¿Cuál es el tamaño del balance de CaixaBank en 2023?,El activo total de CaixaBank en 2023 ascendió a 696.414 millones EUR.
20,¿Cómo está la solvencia de CaixaBank en 2023?,"El ratio de capital (CET1) de CaixaBank en 2023 fue del 13.1%, lo que refleja una sólida posición de solvencia."
21,¿Qué rentabilidad tuvo CaixaBank sobre sus recursos propios en 2023?,El ROE (rentabilidad sobre recursos propios) de CaixaBank en 2023 fue del 12.5%.
22,¿Cuál fue la tasa de morosidad de CaixaBank en 2023?,La tasa de morosidad de CaixaBank en 2023 se situó en el 2.81%.
23,Dame un resumen del desempeño de CaixaBank en 2023,"CaixaBank cerró 2023 con un beneficio neto de 5.787 millones de euros, consolidando su posición como líder bancario en España. El banco ha completado con éxito la integración de Bankia, generando importantes sinergias."
24,¿Cuáles fueron los aspectos más destacados de CaixaBank en 2023?,Los aspectos más destacados de CaixaBank en 2023 fueron: Líder en España con 20 millones de clientes; Red de 4.500 oficinas; Sinergias de integración Bankia completadas; Ratio de eficiencia: 47.2%
25,¿Cuáles fueron los resultados de CaixaBank en 2022?,"En 2022, CaixaBank obtuvo un beneficio neto de 4.812 millones EUR. El banco contaba con un activo total de 683.596 millones EUR y mantuvo un ratio de capital del 12.8%."
26,¿Cuánto ganó CaixaBank en 2022?,CaixaBank obtuvo un beneficio neto de 4.812 millones EUR en 2022.
27,¿Cuál es el tamaño del balance de CaixaBank en 2022?,El activo total de CaixaBank en 2022 ascendió a 683.596 millones EUR.
28,¿Cómo está la solvencia de CaixaBank en 2022?,"El ratio de capital (CET1) de CaixaBank en 2022 fue del 12.8%, lo que refleja una sólida posición de solvencia."
29,¿Qué rentabilidad tuvo CaixaBank sobre sus recursos propios en 2022?,El ROE (rentabilidad sobre recursos propios) de CaixaBank en 2022 fue del 11.3%.
30,¿Cuál fue la tasa de morosidad de CaixaBank en 2022?,La tasa de morosidad de CaixaBank en 2022 se situó en el 3.02%.
31,Dame un resumen del desempeño de CaixaBank en 2022,"En 2022, CaixaBank obtuvo un beneficio neto de 4.812 millones de euros, avanzando en la integración con Bankia y fortaleciendo su liderazgo en el mercado español."
32,¿Cuáles fueron los aspectos más destacados de CaixaBank en 2022?,Los aspectos más destacados de CaixaBank en 2022 fueron: Proceso de integración Bankia en marcha; Expansión de servicios digitales; Compromiso con la banca sostenible
33,¿Cuáles fueron los resultados de BBVA en 2023?,"En 2023, BBVA obtuvo un beneficio neto de 8.019 millones EUR. El banco contaba con un activo total de 744.200 millones EUR y mantuvo un ratio de capital del 13.4%."
34,¿Cuánto ganó BBVA en 2023?,BBVA obtuvo un beneficio neto de 8.019 millones EUR en 2023.
35,¿Cuál es el tamaño del balance de BBVA en 2023?,El activo total de BBVA en 2023 ascendió a 744.200 millones EUR.
36,¿Cómo está la solvencia de BBVA en 2023?,"El ratio de capital (CET1) de BBVA en 2023 fue del 13.4%, lo que refleja una sólida posición de solvencia."
37,¿Qué rentabilidad tuvo BBVA sobre sus recursos propios en 2023?,El ROE (rentabilidad sobre recursos propios) de BBVA en 2023 fue del 15.2%.
38,¿Cuál fue la tasa de morosidad de BBVA en 2023?,La tasa de morosidad de BBVA en 2023 se situó en el 3.45%.
