id,system_prompt,user_query,assistant_response
1,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Revisa este SQL que calcula la PD:
```sql
SELECT cliente_id,
       COUNT(CASE WHEN default_flag = 1 THEN 1 END) / COUNT(*) as pd
FROM historico_clientes
WHERE fecha >= DATEADD(year, -5, GETDATE())
GROUP BY cliente_id;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Ventana temporal insuficiente**: El código usa 5 años, pero EBA/GL/2017/16 párrafo 74 requiere mínimo 5 años para PD y recomienda ciclo económico completo (7-10 años).
2. ❌ **Definición de default incompleta**: Solo usa default_flag=1 sin verificar los 90 días de mora ni unlikely to pay según CRR Art. 178.
3. ❌ **Sin ajuste al ciclo**: Falta ajuste Through-The-Cycle (TTC) o Point-In-Time (PIT) según metodología.
4. ⚠️ **Sin margen de conservadurismo**: EBA/GL/2017/16 párrafo 122 requiere añadir margen cuando hay incertidumbre.

**Código corregido:**
```sql
SELECT cliente_id,
       (COUNT(CASE WHEN default_90d = 1 OR unlikely_to_pay = 1 THEN 1 END) / NULLIF(COUNT(*), 0)) 
       * (1 + margin_conservadurismo) as pd_ajustada
FROM historico_clientes
WHERE fecha >= DATEADD(year, -7, GETDATE())
GROUP BY cliente_id;
```"
2,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Revisa este cálculo de LGD:
```sql
SELECT segmento,
       AVG(1 - recuperacion_total / exposicion_default) as lgd
FROM defaults_historicos
GROUP BY segmento;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Sin descuento temporal**: EBA/GL/2017/16 párrafo 156 exige descontar flujos de recuperación a valor presente usando tasa apropiada.
2. ❌ **Costes no incluidos**: Falta incluir costes directos e indirectos de recuperación (párrafo 158).
3. ❌ **Sin downturn LGD**: CRR Art. 181(1)(b) requiere LGD en condiciones de recesión, no solo promedio histórico.
4. ⚠️ **Workout period**: No se verifica que los defaults estén completamente resueltos.

**Código corregido:**
```sql
SELECT segmento,
       AVG(1 - (recuperacion_descontada - costes_directos - costes_indirectos) 
           / NULLIF(exposicion_default, 0)) as lgd_workout,
       MAX(lgd_downturn_factor) as lgd_downturn
FROM defaults_historicos
WHERE workout_completo = 1
GROUP BY segmento;
```"
3,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Analiza este SQL de EAD para líneas de crédito:
```sql
SELECT contrato_id,
       saldo_dispuesto + (limite_credito - saldo_dispuesto) * 0.75 as ead
FROM lineas_credito;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **CCF fijo incorrecto**: El factor 0.75 es arbitrario. EBA/GL/2017/16 párrafo 189 requiere estimar CCF con datos históricos propios.
2. ❌ **Sin horizonte de 12 meses**: El CCF debe reflejar disposiciones adicionales en los 12 meses previos al default (párrafo 185).
3. ❌ **Sin segmentación**: CCF debe estimarse por tipo de producto y perfil de riesgo.
4. ⚠️ **Floor regulatorio**: CRR establece floors para CCF según tipo de exposición.

**Código corregido:**
```sql
SELECT c.contrato_id,
       c.saldo_dispuesto + 
       (c.limite_credito - c.saldo_dispuesto) * 
       GREATEST(ccf.ccf_estimado, ccf.ccf_floor_regulatorio) as ead
FROM lineas_credito c
JOIN ccf_por_segmento ccf ON c.segmento = ccf.segmento
WHERE ccf.ventana_observacion = '12M';
```"
4,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Revisa esta query de calibración de PD:
```sql
SELECT rating_bucket,
       SUM(default_1y) / COUNT(*) as tasa_default_observada
FROM portfolio_historico
GROUP BY rating_bucket
ORDER BY rating_bucket;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Sin long-run average**: EBA/GL/2017/16 párrafo 79 requiere PD como media de largo plazo, no tasa puntual.
2. ❌ **Falta monotonicidad**: No se verifica que PD sea creciente con el rating (párrafo 99).
3. ❌ **Sin test de discriminación**: Falta calcular Gini/AUC para validar poder discriminatorio.
4. ⚠️ **Bins pequeños**: No hay control de mínimo de observaciones por bucket.

**Código corregido:**
```sql
WITH tasas_anuales AS (
    SELECT rating_bucket, año,
           SUM(default_1y)*1.0 / COUNT(*) as dr_anual,
           COUNT(*) as n_obs
    FROM portfolio_historico
    GROUP BY rating_bucket, año
)
SELECT rating_bucket,
       AVG(dr_anual) as pd_long_run,
       MIN(n_obs) as min_observaciones,
       COUNT(DISTINCT año) as años_datos
FROM tasas_anuales
GROUP BY rating_bucket
HAVING MIN(n_obs) >= 20
ORDER BY pd_long_run;  -- Verificar monotonicidad
```"
5,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Analiza este cálculo de provisiones IFRS9:
```sql
SELECT cuenta_id,
       CASE stage
           WHEN 1 THEN ead * pd_12m * lgd
           WHEN 2 THEN ead * pd_lifetime * lgd
           WHEN 3 THEN ead * lgd
       END as provision_ecl
FROM cartera_creditos;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Sin descuento temporal**: IFRS 9 párrafo 5.5.17 requiere descontar ECL a valor presente usando TIE original.
2. ❌ **Stage 3 incorrecto**: Para Stage 3, LGD debe ser específica del activo deteriorado, no genérica.
3. ❌ **Sin escenarios macro**: IFRS 9 B5.5.42 exige ponderar escenarios macroeconómicos (base, adverso, favorable).
4. ⚠️ **EAD sin CCF**: Para compromisos, EAD debe incluir factor de conversión.

**Código corregido:**
```sql
SELECT cuenta_id,
       CASE stage
           WHEN 1 THEN ead * pd_12m * lgd / POWER(1 + tie_original, plazo_residual)
           WHEN 2 THEN SUM(ead_t * pd_marginal_t * lgd_t / POWER(1 + tie_original, t))
           WHEN 3 THEN ead * lgd_especifica / POWER(1 + tie_original, plazo_recuperacion)
       END * escenario_ponderado as provision_ecl
FROM cartera_creditos
CROSS JOIN escenarios_macro;
```"
6,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Revisa este SQL de backtesting de PD:
```sql
SELECT rating,
       COUNT(CASE WHEN real_default = 1 THEN 1 END) as defaults_reales,
       SUM(pd_estimada) as defaults_esperados
FROM backtesting_portfolio
GROUP BY rating;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Sin test estadístico**: EBA/GL/2017/16 párrafo 231 requiere test binomial o chi-cuadrado para evaluar desviaciones.
2. ❌ **Falta intervalo de confianza**: Debe calcularse IC al 95% para determinar si desviación es significativa.
3. ❌ **Sin traffic light approach**: Supervisores usan semáforo (verde/amarillo/rojo) según severidad.
4. ⚠️ **Agregación temporal**: Debe analizarse por año para detectar tendencias.

**Código corregido:**
```sql
WITH bt_stats AS (
    SELECT rating, año,
           COUNT(*) as n,
           SUM(CASE WHEN real_default = 1 THEN 1 ELSE 0 END) as d_real,
           SUM(pd_estimada) as d_esperado,
           AVG(pd_estimada) as pd_media
    FROM backtesting_portfolio
    GROUP BY rating, año
)
SELECT rating, año, n, d_real, d_esperado,
       -- Test binomial aproximado
       (d_real - d_esperado) / SQRT(n * pd_media * (1 - pd_media)) as z_score,
       CASE 
           WHEN ABS(z_score) < 1.96 THEN 'VERDE'
           WHEN ABS(z_score) < 2.58 THEN 'AMARILLO'
           ELSE 'ROJO'
       END as semaforo
FROM bt_stats;
```"
7,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Analiza esta definición de default:
```sql
SELECT cliente_id,
       CASE WHEN dias_mora > 90 THEN 1 ELSE 0 END as default_flag
FROM clientes;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Definición incompleta**: CRR Art. 178 requiere TAMBIÉN unlikely to pay (UTP), no solo 90 días mora.
2. ❌ **Sin materialidad**: Debe aplicarse umbral de materialidad (1% o 100€ para retail, según EBA/GL/2016/07).
3. ❌ **Sin contagio**: Falta propagación del default a operaciones relacionadas del mismo cliente.
4. ❌ **Sin cura**: No hay lógica de período de cura (mínimo 3 meses según EBA).

**Código corregido:**
```sql
SELECT c.cliente_id,
       CASE 
           WHEN c.dias_mora > 90 
                AND c.importe_vencido > GREATEST(c.exposicion * 0.01, 100)
           THEN 1
           WHEN c.unlikely_to_pay = 1 THEN 1
           WHEN c.reestructurado_distress = 1 THEN 1
           WHEN c.cliente_id IN (SELECT cliente_id FROM defaults_contagio) THEN 1
           ELSE 0
       END as default_flag,
       CASE WHEN dias_desde_cura >= 90 THEN 1 ELSE 0 END as curado
FROM clientes c;
```"
8,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Revisa este cálculo de RWA:
```sql
SELECT SUM(ead * pd * lgd * 12.5 * 0.08) as rwa
FROM cartera_irb;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Fórmula IRB incorrecta**: CRR Art. 153 usa función de correlación y distribución normal, no multiplicación simple.
2. ❌ **Sin correlación de activos**: Falta R = 0.12*(1-EXP(-50*PD))/(1-EXP(-50)) + 0.24*(1-(1-EXP(-50*PD))/(1-EXP(-50))).
3. ❌ **Sin ajuste por madurez**: Falta factor de ajuste por vencimiento M según Art. 162.
4. ❌ **Factor 12.5 mal aplicado**: Es 1/0.08 = 12.5, pero la fórmula es K * 12.5 * EAD.

**Código corregido:**
```sql
WITH params AS (
    SELECT ead, pd, lgd, m as madurez,
           0.12 * (1-EXP(-50*pd))/(1-EXP(-50)) + 0.24 * (1-(1-EXP(-50*pd))/(1-EXP(-50))) as R,
           (1 + (m-2.5) * b) / (1 - 1.5*b) as ajuste_madurez
    FROM cartera_irb
)
SELECT SUM(
    (lgd * NORMDIST_INV(0.999) * SQRT(R/(1-R)) + lgd * NORMDIST_INV(pd) * SQRT(1/(1-R)) - pd*lgd)
    * ajuste_madurez * 12.5 * ead
) as rwa
FROM params;
```"
9,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Analiza este SQL de segmentación para modelos PD:
```sql
SELECT CASE
           WHEN ingresos > 1000000 THEN 'CORPORATE'
           ELSE 'RETAIL'
       END as segmento
FROM clientes;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Criterio único insuficiente**: CRR Art. 147 define categorías por tipo de contraparte, no solo ingresos.
2. ❌ **Umbral incorrecto**: SME es ventas anuales < 50M€ (Art. 501), corporate > 50M€.
3. ❌ **Sin subcategorías retail**: Debe distinguir hipotecas, renovables, otros retail (Art. 154).
4. ⚠️ **Falta granularidad**: EBA requiere pools homogéneos por características de riesgo.

**Código corregido:**
```sql
SELECT cliente_id,
       CASE
           WHEN tipo_contraparte = 'SOBERANO' THEN 'SOBERANOS'
           WHEN tipo_contraparte = 'INSTITUCION' THEN 'INSTITUCIONES'
           WHEN ventas_anuales >= 50000000 THEN 'CORPORATE'
           WHEN ventas_anuales < 50000000 AND tipo = 'EMPRESA' THEN 'SME_CORPORATE'
           WHEN garantia_hipotecaria = 1 THEN 'RETAIL_HIPOTECAS'
           WHEN tipo_producto = 'RENOVABLE' THEN 'RETAIL_RENOVABLE_QRRE'
           WHEN exposicion < 1000000 AND granularidad_ok = 1 THEN 'RETAIL_OTROS'
           ELSE 'SME_RETAIL'
       END as segmento_irb
FROM clientes;
```"
10,"Eres un experto en riesgo de crédito que revisa código SQL para verificar su conformidad con las metodologías de estimación de parámetros IRB (PD, LGD, EAD) según las directrices EBA/GL/2017/16 y normativa de Banco de España.","Revisa este cálculo de matriz de transición:
```sql
SELECT rating_inicio, rating_fin,
       COUNT(*) as transiciones
FROM historico_ratings
GROUP BY rating_inicio, rating_fin;
```","**ANÁLISIS DE CONFORMIDAD METODOLÓGICA**

**Hallazgos:**
1. ❌ **Sin normalización**: Debe expresarse como probabilidad (%), no conteos absolutos.
2. ❌ **Sin horizonte temporal**: EBA requiere matrices a 1 año, debe filtrarse por período.
3. ❌ **Falta estado absorbente**: Default debe ser estado absorbente (no transiciones desde default).
4. ⚠️ **Sin cohort vs duration**: Debe especificarse método de estimación.

**Código corregido:**
```sql
WITH transiciones AS (
    SELECT rating_inicio, rating_fin,
           COUNT(*) as n_trans
    FROM historico_ratings
    WHERE DATEDIFF(month, fecha_inicio, fecha_fin) = 12
      AND rating_inicio != 'DEFAULT'  -- Estado absorbente
    GROUP BY rating_inicio, rating_fin
),
totales AS (
    SELECT rating_inicio, SUM(n_trans) as total
    FROM transiciones
    GROUP BY rating_inicio
)
SELECT t.rating_inicio, t.rating_fin,
       t.n_trans * 100.0 / NULLIF(tot.total, 0) as prob_transicion_pct
FROM transiciones t
JOIN totales tot ON t.rating_inicio = tot.rating_inicio
ORDER BY t.rating_inicio, t.rating_fin;
```"
