CICLO_ID,CONTRATO,SEGMENTO,RATING_GRADO,PD_ESTIMADA,LGD_ESTIMADA,EAD,DPDS,STAGE_IFRS9,ECL,PROVISION_PERIOD_MONTHS,VENTANA_OBSERVACION_YEARS,VENTANA_CALIBRACION_YEARS,COLATERAL_TIPO,LGD_FLOOR_APLICADO,MoC,FECHA_INCUMPLIMIENTO,CURE_FLAG,PERIODO_OBSERVACION,RWA
CIC_00000,CONT_539898,CORP,1,0.001,0.6725,126221.47,5,1,84.88,7,8.5,5.9,NINGUNA,0.45,0.0066,2024-09-10,0,2024-09-15,63662.95
CIC_00001,CONT_496922,RETAIL,8,0.018379,0.1768,405668.08,1,1,1318.18,6,6.0,6.2,PERSONAL,0.0,0.0029,2024-06-24,0,2024-06-25,53791.59
CIC_00002,CONT_270555,CORP,9,0.021674,0.538,316176.7,29,1,3686.81,33,7.7,5.7,NINGUNA,0.45,0.0024,2024-03-31,0,2024-04-29,127577.3
CIC_00003,CONT_944151,MORTGAGE,6,0.012286,0.3629,137154.02,22,1,611.51,23,4.4,8.8,HIPOTECA,0.3,0.0297,2024-11-01,0,2024-11-23,37329.9
CIC_00004,CONT_245051,MORTGAGE,7,0.015245,0.3803,109436.51,0,1,634.48,13,6.7,9.5,HIPOTECA,0.3,0.0074,,0,2024-10-14,31214.03
CIC_00005,CONT_772097,SME,2,0.002639,0.2267,431245.94,70,2,258.0,2,6.4,5.8,FINANCIERO,0.0,0.0159,2024-08-01,0,2024-10-10,73322.59
CIC_00006,CONT_100599,MORTGAGE,2,0.002639,0.3881,83288.09,225,3,85.3,36,7.9,7.8,HIPOTECA,0.3,0.0253,2024-02-04,0,2024-09-16,24243.08
CIC_00007,CONT_736059,MORTGAGE,8,0.018379,0.3058,464903.82,0,1,2612.9,11,5.6,8.1,HIPOTECA,0.3,0.0245,,0,2024-09-29,106625.69
CIC_00008,CONT_132938,SME,4,0.000165,0.2787,378856.27,0,1,17.42,23,2.2,5.8,FINANCIERO,0.0,0.0067,,0,2024-06-22,79190.43
CIC_00009,CONT_806073,MORTGAGE,2,0.002639,0.4542,142846.25,16,1,171.22,34,8.5,8.1,HIPOTECA,0.3,0.0122,2024-02-02,0,2024-02-18,48660.58
CIC_00010,CONT_976638,CORP,1,0.001,0.5708,172954.79,0,1,98.72,17,4.9,6.1,NINGUNA,0.45,0.0262,,0,2024-02-08,74041.95
CIC_00011,CONT_794022,CORP,2,0.002639,0.7279,425104.39,0,1,816.59,5,8.4,9.6,NINGUNA,0.45,0.0117,,0,2024-08-20,232075.11
CIC_00012,CONT_346629,SME,3,0.004656,0.057,112761.94,2,1,29.93,36,4.8,8.1,FINANCIERO,0.0,0.0017,2024-09-15,0,2024-09-17,4820.57
CIC_00013,CONT_431535,SME,2,0.002639,0.2825,286989.33,19,1,213.96,19,6.4,8.1,FINANCIERO,0.0,0.0061,2024-05-21,0,2024-06-09,60805.86
CIC_00014,CONT_108203,CORP,1,0.001,0.5875,499234.95,0,1,293.3,16,5.1,7.1,NINGUNA,0.45,0.0047,,0,2024-10-05,219975.4
