ID_CONTR_CICLO_LGD,ID_FUSION_FINAL,SEGMENTO,CALIBRATION_SEGMENT,PRODUCTO,TERMINACION,CAUSA_DEFAULT,FECHA_DEFAULT,OR_DISPTO,COLATERAL_TIPO,VALOR_COLATERAL_INICIAL,TIPO_INTERES_ORIGINAL,FECHA_REFERENCIA,MES_CICLO,PD_ESTIMADA,LGD_ESTIMADA,LGD_REALIZADA,EAD,ECL,PROVISION,STAGE_IFRS9,CURE_FLAG,DPDS,RATING_GRADO,SALDO_PENDIENTE,TIPO_INTERES_ACTUAL,INTERESES_ACUMULADOS,FLUJO_RECUPERADO,COSTE_RECUPERACION,FLUJO_NETO,RECUPERACION_ACUMULADA,COSTE_TOTAL_ACUMULADO,ADJUDICACION_FLAG,ADJUDICACION_TIPO,ADJUDICACION_VALOR,VALOR_COLATERAL,LTV,TASA_DESCUENTO,RWA,ESTADO_CICLO
100001_201903,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-03-01,1,1.0,0.36878472,1.0,1048526.41,386680.52,386680.52,3,0,30,9,1369564.0,0.06032,6884.34,0.0,0.0,0.0,0.0,0.0,0,,0.0,468573.03,2.911467,0.047562,82177.93,ESTIMACION
100001_201904,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-04-01,2,1.0,0.38681944,1.0,1048526.41,405590.4,405590.4,3,0,60,9,1369564.0,0.06032,13768.68,0.0,0.0,0.0,0.0,0.0,0,,0.0,463548.57,2.911467,0.023587,72322.47,ESTIMACION
100001_201905,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-05-01,3,1.0,0.40485417,1.0,1048526.41,424500.29,424500.29,3,0,90,10,1369564.0,0.06032,20653.02,0.0,0.0,0.0,0.0,0.0,0,,0.0,466568.74,2.911467,0.026685,75981.12,ESTIMACION
100001_201906,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-06-01,4,0.49246667,0.42288889,1.0,1048526.41,218364.73,218364.73,3,0,120,9,1369564.0,0.06032,27537.36,0.0,0.0,0.0,0.0,0.0,0,,0.0,462297.03,2.911467,0.020237,96815.12,RECUPERACION
100001_201907,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-07-01,5,0.48413333,0.44092361,1.0,1048526.41,223824.55,223824.55,3,0,150,9,1369564.0,0.06032,34421.7,0.0,0.0,0.0,0.0,0.0,0,,0.0,460052.99,2.911467,0.04075,96178.68,RECUPERACION
100001_201908,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-08-01,6,0.4758,0.45895833,1.0,1048526.41,228969.2,228969.2,3,0,180,9,1369564.0,0.06032,41306.04,0.0,0.0,0.0,0.0,0.0,0,,0.0,454202.16,2.911467,0.030605,98533.12,RECUPERACION
100001_201909,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-09-01,7,0.46746667,0.47699306,1.0,1048526.41,233798.69,233798.69,3,0,210,9,1369564.0,0.06032,48190.38,0.0,0.0,0.0,0.0,0.0,0,,0.0,453001.61,2.911467,0.045549,88579.5,RECUPERACION
100001_201910,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-10-01,8,0.45913333,0.49502778,1.0,1048526.41,238313.02,238313.02,3,0,240,10,1362928.61,0.06032,55074.72,6635.39,150.08,6485.31,6635.39,150.08,0,,0.0,457025.4,2.897362,0.051386,76089.16,RECUPERACION
100001_201911,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-11-01,9,0.4508,0.51148042,0.9936717,1048526.41,241764.37,241764.37,3,0,270,10,1362928.61,0.06032,61658.91,0.0,0.0,0.0,6635.39,150.08,0,,0.0,456794.95,2.897362,0.032692,88675.2,RECUPERACION
100001_201912,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2019-12-01,10,0.44246667,0.52933936,0.9936717,1048526.41,245580.64,245580.64,3,0,300,9,1362928.61,0.06032,68509.9,0.0,0.0,0.0,6635.39,150.08,0,,0.0,435186.0,2.897362,0.027637,79251.7,RECUPERACION
100001_202001,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2020-01-01,11,0.43413333,0.5471983,0.9936717,1048526.41,249084.81,249084.81,3,0,330,10,1362928.61,0.06032,75360.89,0.0,0.0,0.0,6635.39,150.08,0,,0.0,442036.85,2.897362,0.034613,89937.77,RECUPERACION
100001_202002,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2020-02-01,12,0.4258,0.56505723,0.9936717,1048526.41,252276.89,252276.89,3,0,360,10,1362928.61,0.06032,82211.88,0.0,0.0,0.0,6635.39,150.08,0,,0.0,435949.45,2.897362,0.039374,67490.91,RECUPERACION
100001_202003,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2020-03-01,13,0.41746667,0.58291617,0.9936717,1048526.41,255156.88,255156.88,3,0,390,9,1362928.61,0.06032,89062.87,0.0,0.0,0.0,6635.39,150.08,0,,0.0,455016.01,2.897362,0.043835,72412.33,RECUPERACION
100001_202004,100001,SME,SME_MICRO,PRESTAMO,FALLIDO,90_DIAS_VENCIDO,2019-02-24,1369564.0,PRENDA,470403.35,0.06032,2020-04-01,14,0.40913333,0.60077511,0.9936717,1048526.41,257724.77,257724.77,3,0,420,9,1362928.61,0.06032,95913.86,0.0,0.0,0.0,6635.39,150.08,0,,0.0,437222.79,2.897362,0.026456,95346.09,RECUPERACION
