CICLO_ID,CONTRATO,SEGMENTO,SW_FUSION,ID_FUSION_FINAL,LGD_ESTIMADA,MoC,LGD_CON_MOC,ECL,PD_ESTIMADA,EAD,OR_EAD,COLATERAL_TIPO,FLAG_NC,MOTIVO
CIC_00000,CONT_539898,CORP,0,,0.6725,0.033625,0.706125,117.14,0.00115,151465.76,148200.0,NINGUNA,0,
CIC_00001,CONT_496922,RETAIL,0,,0.1768,0.00884,0.18564,1318.18,0.018379,405668.08,392000.0,PERSONAL,0,
CIC_00003,CONT_944151,MORTGAGE,0,,0.344755,0.017238,0.361993,580.94,0.012286,137154.02,135000.0,HIPOTECA,0,
CIC_00010,CONT_112233,CORP,0,,0.45,0.0225,0.4725,892.5,0.005,375000.0,360000.0,NINGUNA,0,
CIC_00042,CONT_728492,SME,1,FUS_7712,,,,,0.003035,421495.81,2000.0,COLATERAL_FIN,1,LGD no informada en contrato fusionado | ECL missing (posible campo no informado)
CIC_00043,CONT_881104,SME,1,FUS_7712,,,,,0.002891,388220.15,2000.0,COLATERAL_FIN,1,LGD no informada en contrato fusionado | ECL missing (posible campo no informado)
CIC_00044,CONT_005001,CORP,1,FUS_7712,0.40,0.02,0.42,1680.0,0.01,400000.0,100000.0,NINGUNA,0,
CIC_00050,CONT_660011,MORTGAGE,1,FUS_8899,,,,,0.008,290000.0,580000.0,HIPOTECA,1,LGD no informada en contrato fusionado | ECL missing (posible campo no informado)
CIC_00055,CONT_770022,RETAIL,0,,0.25,0.0125,0.2625,525.0,0.02,100000.0,98000.0,PERSONAL,0,
CIC_00060,CONT_880033,CORP,1,FUS_9901,0.50,0.025,0.525,2625.0,0.015,333333.33,150000.0,NINGUNA,0,
